127.0.0.1 - - [27/Aug/2024:11:51:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Aug/2024:11:51:38 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2024:11:55:23 +0530] "GET /atm/transaction/ HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:27:36 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 44
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:28:35 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 44
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:29:02 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 53
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:36:18 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 466
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:36:42 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 97
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:36:52 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 468
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:40:38 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 468
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:43:44 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 468
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:46:45 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 468
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:48:42 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 97
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:48:55 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 53
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:49:18 +0530] "PUT /atm/user/transfer HTTP/1.1" 400 30
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:49:33 +0530] "PUT /atm/user/transfer HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [27/Aug/2024:22:33:47 +0530] "GET /atm/transaction/ HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [27/Aug/2024:22:33:47 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2024:22:33:48 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2024:22:33:49 +0530] "GET /atm/ HTTP/1.1" 200 77
