127.0.0.1 - - [09/Sep/2024:12:03:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:08:45 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:08:47 +0530] "POST /atm/user/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:08:50 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:11:08 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:22:20 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:22:35 +0530] "OPTIONS /atm/user/deposit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:22:36 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:31:35 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:31:42 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:36:23 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:36:30 +0530] "OPTIONS /atm/user/withdraw HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:36:37 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:36:46 +0530] "OPTIONS /atm/user/withdraw HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:36:49 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:36:58 +0530] "OPTIONS /atm/user/withdraw HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:40:40 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:40:40 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:40:46 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:40:56 +0530] "OPTIONS /atm/user/withdraw HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:42:24 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:42:31 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:42:38 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:42:46 +0530] "OPTIONS /atm/user/withdraw HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:44:44 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:44:50 +0530] "OPTIONS /atm/user/withdrawl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:44:51 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [09/Sep/2024:12:45:00 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:02:27 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:02:30 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:02:36 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:05:09 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:05:43 +0530] "OPTIONS /atm/user/deposit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:05:44 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:05:54 +0530] "GET /atm/user/getBalance/1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:06:34 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:13:58 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:13:58 +0530] "POST /atm/user/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:14:01 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
