127.0.0.1 - - [24/Nov/2024:21:48:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:48:47 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:48:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:49:57 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:06 +0530] "GET /atm/transaction HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:14 +0530] "GET /atm/transaction HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:17 +0530] "GET /atm/user/getBalance/100002 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:36 +0530] "OPTIONS /atm/user/transfer HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:37 +0530] "GET /atm/transaction HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:39 +0530] "PUT /atm/user/transfer HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:49 +0530] "OPTIONS /atm/user/withdrawl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:50 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [24/Nov/2024:21:50:53 +0530] "GET /atm/transaction HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:12:40 +0530] "GET /atm/user/getBalance/100002 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:12:51 +0530] "GET /atm/transaction HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:12:55 +0530] "GET /atm/transaction HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:12:55 +0530] "GET /atm/transaction HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:01 +0530] "GET /atm/transaction HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:01 +0530] "GET /atm/transaction HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:09 +0530] "GET /atm/user/getBalance/100002 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:16 +0530] "OPTIONS /atm/user/deposit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:16 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:21 +0530] "GET /atm/transaction HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:22 +0530] "GET /atm/transaction HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:32 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:37 +0530] "GET /atm/transaction HTTP/1.1" 200 10751
0:0:0:0:0:0:0:1 - - [24/Nov/2024:22:13:37 +0530] "GET /atm/transaction HTTP/1.1" 200 10751
